2  1.128169393
4  1.207260803
6  1.162144999
8  1.086580655
10 1.020294032
12 0.984404648
14 0.961121501
16 0.943739262
18 0.935634699
20 0.929257313
22 0.926785192
24 0.922789583
26 0.92080282
28 0.920911563
30 0.919068024
32 0.918683179
34 0.916769578
36 0.918508945
38 0.917435598
40 0.917006348
42 0.917931368
44 0.917321926
46 0.917207604
48 0.917538439
50 0.91781593
52 0.916538055
54 0.91750054
56 0.918359608
58 0.917258818
60 0.916959757
62 0.917541067
64 0.917961925
66 0.916982885
68 0.917354223
70 0.916629988
72 0.917741324
74 0.917099329
76 0.916653884
78 0.917706586
80 0.917799554
