2  1.132712733
4  1.228724708
6  1.188242224
8  1.146857387
10 1.089264503
12 1.037354216
14 1.010258903
16 0.989020331
18 0.968896627
20 0.95493044
22 0.951773024
24 0.945198508
26 0.938427764
28 0.936401135
30 0.936235337
32 0.934175721
34 0.932840933
36 0.933092578
38 0.932950805
40 0.93206742
42 0.933512249
44 0.932396445
46 0.932187492
48 0.930731818
50 0.932129954
52 0.932420884
54 0.932361052
56 0.93238136
58 0.932720984
60 0.933677345
62 0.931285367
64 0.93324566
66 0.932582831
68 0.932633492
70 0.932551453
72 0.932491854
74 0.931143952
76 0.931864567
78 0.931764314
80 0.932632694
