2  1.217823499
4  1.385537409
6  1.373584748
8  1.316691911
10 1.257065702
12 1.21812447
14 1.187584157
16 1.180310091
18 1.164011046
20 1.153125835
22 1.14971773
24 1.144592446
26 1.142067793
28 1.142313111
30 1.140338658
32 1.13969587
34 1.138366101
36 1.138168284
38 1.138083119
40 1.137376887
42 1.138485661
44 1.13825279
46 1.137911993
48 1.137410414
50 1.138051287
52 1.137164054
54 1.137389115
56 1.138086246
58 1.137476144
60 1.13747368
62 1.138301612
64 1.13844824
66 1.137660919
68 1.138599817
70 1.138355782
72 1.138609275
74 1.137698938
76 1.137775698
78 1.138472932
80 1.137784513
